itemLabel
HRADF
Privat Bank
Royal Mint
Pembangunan Perumahan
Bank Mandiri
Caixa
Union Bank of India
Bank Negara Indonesia
State Trade Bank
Earth Power Bank
Indonesia Export Import Bank
Caixa Geral de Depósitos
Bank of the Northeast
Bank Rakyat Indonesia
People's Bank
ATB Financial
Banobras
State Bank of New South Wales
Bank of Amazon
British Business Bank
"UBS Securities Co., Ltd."
"China Orient Asset Management Co., Ltd."
Norfund
Rusnano
Bao Viet Holdings
Inbal Insurance Company
National Insurance Company Limited
Misr Insurance Holding Company
China Integrated Circuit Industry Investment Fund
Loto-Quebec
Norsk Tipping AS
Investment Corporation of Bangladesh
Katanga Special Committee
Katanga Special Committee
Österreichische Beteiligungs AG
